county_code,county,lat,long,geometry
027,Clay,36.5701766,-85.56121,"list(list(c(-85.797033, -85.7885565436139, -85.731862, -85.488353, -85.4364042728859, -85.2958124857275, -85.290627, -85.2762879474994, -85.267057, -85.284878, -85.446372, -85.495422, -85.57596, -85.704075, -85.813885, -85.797033, 36.610272, 36.6217118590347, 36.620429, 36.614994, 36.618003845027, 36.6261495593675, 36.62645, 36.6261575408034, 36.573238, 36.531293, 36.49797, 36.403074, 36.471617, 36.522395, 36.499473, 36.610272)))"
029,Cocke,35.9359517,-83.1220074,"list(list(c(-83.296531, -83.276677, -83.258684, -83.234585, -83.245787, -83.175098, -83.187386, -83.166085, -83.172485, -83.102761, -82.8937514184314, -82.910608, -82.899718, -82.937437, -82.9666497428986, -82.978414, -83.04853, -83.097193, -83.161537, -83.198267, -83.255351, -83.2561415523036, -83.261806, -83.310782, -83.296531, 35.90452, 36.007652, 36.000995, 36.085094, 36.124194, 36.127357, 36.174995, 36.180894, 36.157095, 36.120909, 35.9338572697089, 35.92693, 35.874602, 35.82732, 35.795445979574, 
35.78261, 35.787706, 35.776067, 35.763363, 35.725494, 35.71623, 35.7151240626578, 35.825024, 35.895846, 35.90452)))"
031,Coffee,35.4576849,-86.0529604,"list(list(c(-86.279905, -86.25759, -86.234575, -86.245165, -86.245406, -86.207147, -86.08889, -85.985062, -85.948192, -85.876962, -85.869712, -85.913593, -86.02704, -86.158018, -86.261489, -86.279905, 35.387452, 35.412476, 35.45276, 35.631913, 35.688899, 35.70379, 35.646823, 35.660108, 35.573422, 35.524095, 35.380362, 35.289189, 35.343837, 35.362607, 35.333579, 35.387452)))"
033,Crockett,35.7812386,-89.132486599999993,"list(list(c(-89.339567, -89.342829, -89.280188, -89.188844, -89.135958, -89.109285, -88.916181, -89.021364, -89.069544, -89.338704, -89.356033, -89.339567, 35.862268, 35.880934, 35.886416, 35.99976, 35.967841, 35.862089, 35.797307, 35.670953, 35.692679, 35.789273, 35.817635, 35.862268)))"
035,Cumberland,35.8994729,-85.023346,"list(list(c(-85.269359, -85.248435, -85.242698, -85.264206, -85.246362, -85.15275, -85.100213, -85.029461, -84.907753, -84.80546, -84.720727, -84.680633, -84.729634, -84.781901, -84.80163, -84.916062, -84.928536, -85.254062, -85.269359, 35.793388, 35.798748, 35.91304, 35.979154, 36.100698, 36.099544, 36.138561, 36.170433, 36.156293, 36.090501, 35.994914, 35.908454, 35.858382, 35.825, 35.823066, 35.761939, 35.768549, 35.765611, 35.793388)))"
037,Davidson,36.1342563,-86.8220341,"list(list(c(-87.041362, -86.963358, -86.906254, -86.913233, -86.825053, -86.754795, -86.639095, -86.594286, -86.556865, -86.515589, -86.546884, -86.618892, -86.790875, -86.928861, -87.039223, -87.053722, -87.041362, 36.041312, 36.267004, 36.366218, 36.382621, 36.349817, 36.405496, 36.255105, 36.245105, 36.13496, 36.10061, 36.087817, 35.968224, 36.036715, 36.052942, 35.989286, 36.045582, 36.041312)))"
039,Decatur,35.595087,-88.1291387,"list(list(c(-88.243057, -88.190465, -88.179177, -88.177859, -88.051635, -87.970738, -88.034788, -88.035837, -87.97463, -88.042332, -88.007709, -87.97366, -88.024741, -88.196462, -88.241677, -88.247243, -88.243057, 35.528858, 35.609088, 35.816785, 35.845841, 35.849918, 35.815705, 35.717261, 35.621839, 35.521025, 35.444617, 35.423381, 35.404958, 35.392307, 35.379561, 35.423263, 35.439296, 35.528858)))"
041,DeKalb,35.9728357,-85.80766,"list(list(c(-86.059706, -85.910118, -85.864024, -85.807415, -85.767136, -85.644604, -85.662917, -85.632449, -85.682095, -85.868174, -85.885156, -85.88921, -86.014849, -86.063413, -86.059706, 36.086024, 36.116925, 36.093809, 36.131582, 36.070087, 36.015053, 35.971501, 35.847385, 35.831254, 35.84636, 35.839658, 35.857543, 35.96106, 36.070052, 36.086024)))"
043,Dickson,36.1459799,-87.3016132,"list(list(c(-87.566798, -87.523627, -87.513533, -87.303129, -87.286501, -87.153043, -87.193301, -87.149876, -87.182573, -87.190826, -87.204242, -87.53453, -87.552874, -87.566798, 36.177857, 36.24889, 36.334713, 36.312442, 36.321933, 36.30535, 36.248969, 36.176878, 36.049726, 35.975884, 35.959186, 35.993074, 36.016237, 36.177857)))"
045,Dyer,36.0445248,-89.436391,"list(list(c(-89.692437, -89.680029, -89.64302, -89.592102, -89.623804, -89.6276414416754, -89.488283, -89.482971, -89.154464, -89.163406, -89.206297, -89.188844, -89.280188, -89.342829, -89.398186, -89.631345, -89.6489049703452, -89.652279, -89.686924, -89.733095, -89.692437, 36.020507, 36.082494, 36.10362, 36.135637, 36.183128, 36.185460316606, 36.187544, 36.212659, 36.204678, 36.026044, 36.011814, 35.99976, 35.886416, 35.880934, 35.941369, 35.924133, 35.9035834823126, 35.921462, 35.947716, 36.000608, 
36.020507)))"
