cnty_cd,county,lat,long,geometry,year,population,pct_pop_change,avg_commute_mins,pct_comm_change,traffic_growth_rate
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2016-01-01,47442,1.0522279969327863,NA,NA,1.4929812261928284
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2015-01-01,46948,1.5069944433633964,NA,NA,3.3509875247950265
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2014-01-01,46251,1.5055415340722078,NA,NA,3.7633003270959113
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2013-01-01,45565,0.6872320678835031,NA,NA,1.8830309055770345
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2012-01-01,45254,0.015470638937387093,NA,NA,-1.4929191080962623
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2011-01-01,45247,0.3749057189760041,NA,NA,-2.498515572008196
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2010-01-01,45078,NA,NA,NA,1.7831742639248351
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2018-01-01,16246,1.5819420996685984,NA,NA,0.2947564828471677
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2017-01-01,15993,-0.5534137545081474,NA,NA,4.090021975869783
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2016-01-01,16082,-0.8508014796547503,NA,NA,0.28019794831509287
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2015-01-01,16220,0.14200160523554217,NA,NA,5.649375373082408
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2014-01-01,16197,-0.9963325183374061,NA,NA,-1.0062153114301737
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2013-01-01,16360,-0.5168744299179129,NA,NA,-6.416764690831135
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2012-01-01,16445,-0.5081977131102922,NA,NA,-1.197679239643076
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2011-01-01,16529,0.10901823027071877,NA,NA,3.5554454657016032
005,Benton,36.1170244,-88.050979,"list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029))",2010-01-01,16511,NA,NA,NA,4.938786071996673
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2018-01-01,14883,-0.08056394763343855,NA,NA,0.2655129266148931
