county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change,traffic_growth_rate
Anderson,2018,76287,0.30372357210477485,24.6,-5.384615384615376,-1.4356901137791578
Anderson,2017,76056,0.699078487448368,26,16.59192825112108,1.8612219468754811
Anderson,2016,75528,0.0954198473282375,22.3,-5.907172995780585,2.886446023546118
Anderson,2015,75456,0.3978338677701254,23.7,9.216589861751157,3.6626039295322292
Anderson,2014,75157,-0.18858152166695286,21.7,-4.405286343612335,2.6371206540557304
Anderson,2013,75299,0.0983715520106454,22.7,2.2522522522522515,-0.8346915696870388
Anderson,2012,75225,0.021274049648312143,22.2,4.225352112676051,-0.7650351039936834
Anderson,2011,75209,0.14780686569548784,21.3,-17.76061776061776,1.3070002172665804
Anderson,2010,75098,NA,25.9,NA,-0.19762820345377624
Bedford,2018,49146,1.9393914251934152,NA,NA,3.955993219104094
Bedford,2017,48211,1.620926605117834,NA,NA,3.1798903737004443
Bedford,2016,47442,1.0522279969327863,NA,NA,1.4929812261928284
Bedford,2015,46948,1.5069944433633964,NA,NA,3.3509875247950265
Bedford,2014,46251,1.5055415340722078,NA,NA,3.7633003270959113
Bedford,2013,45565,0.6872320678835031,NA,NA,1.8830309055770345
Bedford,2012,45254,0.015470638937387093,NA,NA,-1.4929191080962623
Bedford,2011,45247,0.3749057189760041,NA,NA,-2.498515572008196
Bedford,2010,45078,NA,NA,NA,1.7831742639248351
Benton,2018,16246,1.5819420996685984,NA,NA,0.2947564828471677
Benton,2017,15993,-0.5534137545081474,NA,NA,4.090021975869783
Benton,2016,16082,-0.8508014796547503,NA,NA,0.28019794831509287
Benton,2015,16220,0.14200160523554217,NA,NA,5.649375373082408
Benton,2014,16197,-0.9963325183374061,NA,NA,-1.0062153114301737
Benton,2013,16360,-0.5168744299179129,NA,NA,-6.416764690831135
Benton,2012,16445,-0.5081977131102922,NA,NA,-1.197679239643076
Benton,2011,16529,0.10901823027071877,NA,NA,3.5554454657016032
Benton,2010,16511,NA,NA,NA,4.938786071996673
Bledsoe,2018,14883,-0.08056394763343855,NA,NA,0.2655129266148931
Bledsoe,2017,14895,1.065273442800918,NA,NA,5.140468843623299
Bledsoe,2016,14738,0.9382918978152244,NA,NA,-0.5359091807735465
Bledsoe,2015,14601,0.6896076132680395,NA,NA,-1.1851233244014476
Bledsoe,2014,14501,4.248741912293319,NA,NA,4.625582903891534
Bledsoe,2013,13910,7.612563824849139,NA,NA,-1.2103959157463522
Bledsoe,2012,12926,-0.5080049261083741,NA,NA,1.7010172388795537
Bledsoe,2011,12992,0.8382489909965818,NA,NA,-3.578512994004118
Bledsoe,2010,12884,NA,NA,NA,-1.2932534616686706
Blount,2018,131331,1.0246232663328136,23.9,-8.429118773946376,1.0314932505378411
Blount,2017,129999,1.3526788498721354,26.1,6.0975609756097615,3.322483805012899
Blount,2016,128264,1.0318698111126956,24.6,0.40816326530612734,1.5184624720274198
Blount,2015,126954,0.8796395623256847,24.5,1.2396694214876103,3.8303526221391957
Blount,2014,125847,0.7791854189022507,24.2,-0.4115226337448652,1.5416909532917042
Blount,2013,124874,0.685351222344055,24.3,0.4132231404958775,1.1002453094293698
Blount,2012,124024,0.29111139862854074,24.2,2.5423728813559254,0.9951146961103997
Blount,2011,123664,0.37743812855624004,23.6,-5.976095617529875,1.0913657949052968
Blount,2010,123199,NA,25.1,NA,-0.3834096780196648
Bradley,2018,107050,1.5452329232316098,21.9,2.8169014084507005,6.591823727514247
Bradley,2017,105421,0.9876424944918138,21.3,0,0.25474586491482826
