county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change
Clay,2018,7677,0.18269607203444949,NA,NA
Clay,2017,7663,0.1175855761693212,NA,NA
Clay,2016,7654,-0.1174474748792953,NA,NA
Clay,2015,7663,0.5643044619422666,NA,NA
Clay,2014,7620,-0.8844953173777315,NA,NA
Clay,2013,7688,-0.18177096857958652,NA,NA
Clay,2012,7702,-0.503810877147659,NA,NA
Clay,2011,7741,-1.313105558388572,NA,NA
Clay,2010,7844,NA,NA,NA
Cocke,2018,35858,0.928844854762434,NA,NA
Cocke,2017,35528,0.8344212976102661,NA,NA
Cocke,2016,35234,0.2732084922306255,NA,NA
Cocke,2015,35138,-0.3629558214711004,NA,NA
Cocke,2014,35266,-0.37853107344633097,NA,NA
Cocke,2013,35400,-0.3658879819870564,NA,NA
Cocke,2012,35530,0.27658613682546296,NA,NA
Cocke,2011,35432,-0.5836139169472454,NA,NA
Cocke,2010,35640,NA,NA,NA
Coffee,2018,55877,1.564999272938783,NA,NA
Coffee,2017,55016,0.8783028036012164,NA,NA
Coffee,2016,54537,0.8208086073983711,NA,NA
Coffee,2015,54093,1.063074508631634,NA,NA
Coffee,2014,53524,0.42403092048481916,NA,NA
Coffee,2013,53298,0.2841176359907438,NA,NA
Coffee,2012,53147,0.42894935752078034,NA,NA
Coffee,2011,52920,0.2842524161455362,NA,NA
Coffee,2010,52770,NA,NA,NA
Crockett,2018,14296,-0.9697977279024661,NA,NA
Crockett,2017,14436,-0.08305647840531893,NA,NA
Crockett,2016,14448,-0.9461127108185918,NA,NA
Crockett,2015,14586,-0.45045045045044585,NA,NA
Crockett,2014,14652,0.2874743326488627,NA,NA
Crockett,2013,14610,0,NA,NA
Crockett,2012,14610,0.3434065934065922,NA,NA
Crockett,2011,14560,-0.19193857965451588,NA,NA
Crockett,2010,14588,NA,NA,NA
Cumberland,2018,59738,1.2113921691544016,NA,NA
Cumberland,2017,59023,0.75623079549334,NA,NA
Cumberland,2016,58580,0.6235292096810285,NA,NA
Cumberland,2015,58217,0.5058352323734638,NA,NA
Cumberland,2014,57924,0.846129739893442,NA,NA
Cumberland,2013,57438,0.7861028250570223,NA,NA
Cumberland,2012,56990,0.819077608930252,NA,NA
Cumberland,2011,56527,0.5943800829284696,NA,NA
Cumberland,2010,56193,NA,NA,NA
Davidson,2018,690516,0.48853322156880985,24.5,-1.2096774193548376
Davidson,2017,687159,0.1939258911477948,24.8,-1.5873015873015817
Davidson,2016,685829,0.8879173513113514,25.2,0.3984063745019917
Davidson,2015,679793,1.5205843392656293,25.1,5.020920502092063
Davidson,2014,669611,1.4287034274037769,23.9,2.5751072961373245
Davidson,2013,660179,1.6686070865365554,23.3,1.7467248908296984
